ZCTA,Total
ZCTA5 11366,"13,922"
ZCTA5 11367,"42,362"
ZCTA5 11368,"116,469"
ZCTA5 11369,"31,550"
ZCTA5 11370,"29,780"
ZCTA5 11371,0
ZCTA5 11372,"67,252"
ZCTA5 11373,"102,104"
ZCTA5 11374,"47,019"
ZCTA5 11375,"76,091"
ZCTA5 11377,"85,255"
ZCTA5 11378,"39,994"
ZCTA5 11379,"39,805"
ZCTA5 11385,"109,111"
ZCTA5 11411,"21,605"
ZCTA5 11412,"41,782"
ZCTA5 11413,"45,661"
ZCTA5 11414,"30,915"
ZCTA5 11415,"20,351"
ZCTA5 11416,"27,098"
ZCTA5 11417,"33,236"
ZCTA5 11418,"38,938"
ZCTA5 11419,"50,107"
ZCTA5 11420,"51,831"
ZCTA5 11421,"42,704"
ZCTA5 11422,"34,063"
ZCTA5 11423,"30,983"
ZCTA5 11424,0
ZCTA5 11426,"20,959"
ZCTA5 11427,"25,890"
ZCTA5 11428,"21,184"
ZCTA5 11429,"28,643"
ZCTA5 11430,222
ZCTA5 11432,"64,858"
ZCTA5 11433,"41,396"
ZCTA5 11434,"66,424"
ZCTA5 11435,"60,842"
ZCTA5 11436,"21,248"
ZCTA5 11439,"2,154"
ZCTA5 11451,0
ZCTA5 11501,"21,353"
ZCTA5 11507,"6,826"
ZCTA5 11509,"1,691"
ZCTA5 11510,"34,713"
ZCTA5 11514,"4,725"
ZCTA5 11516,"8,244"
ZCTA5 11518,"10,248"
ZCTA5 11520,"44,788"
ZCTA5 11530,"28,550"
ZCTA5 11542,"29,384"
ZCTA5 11545,"11,841"
ZCTA5 11547,488
ZCTA5 11548,"2,068"
ZCTA5 11549,"2,692"
ZCTA5 11550,"60,673"
ZCTA5 11552,"26,207"
ZCTA5 11553,"27,150"
ZCTA5 11554,"38,078"
ZCTA5 11556,0
ZCTA5 11557,"8,234"
ZCTA5 11558,"8,758"
ZCTA5 11559,"8,427"
ZCTA5 11560,"7,025"
ZCTA5 11561,"39,140"
ZCTA5 11563,"22,152"
ZCTA5 11565,"9,077"
ZCTA5 11566,"34,393"
ZCTA5 11568,"4,428"
ZCTA5 11569,"1,168"
ZCTA5 11570,"28,462"
ZCTA5 11572,"29,791"
ZCTA5 11575,"18,143"
ZCTA5 11576,"12,828"
ZCTA5 11577,"12,125"
ZCTA5 11579,"5,084"
ZCTA5 11580,"43,414"
ZCTA5 11581,"22,919"
ZCTA5 11590,"48,436"
ZCTA5 11596,"10,431"
ZCTA5 11598,"14,058"
ZCTA5 11691,"70,797"
ZCTA5 11692,"24,639"
ZCTA5 11693,"14,147"
ZCTA5 11694,"22,432"
ZCTA5 11697,"3,782"
ZCTA5 11701,"27,831"
ZCTA5 11702,"14,121"
ZCTA5 11703,"17,754"
ZCTA5 11704,"40,344"
ZCTA5 11705,"8,241"
ZCTA5 11706,"66,668"
ZCTA5 11709,"6,780"
ZCTA5 11710,"36,171"
ZCTA5 11713,"9,128"
ZCTA5 11714,"23,262"
ZCTA5 11715,"4,092"
ZCTA5 11716,"9,919"
ZCTA5 11717,"65,992"
ZCTA5 11718,"3,169"
ZCTA5 11719,"3,508"
ZCTA5 11720,"29,213"
ZCTA5 11721,"6,409"
ZCTA5 11722,"36,756"
ZCTA5 11724,"2,916"
ZCTA5 11725,"28,896"
ZCTA5 11726,"21,674"
ZCTA5 11727,"29,374"
ZCTA5 11729,"26,306"
ZCTA5 11730,"13,099"
ZCTA5 11731,"31,115"
ZCTA5 11732,"3,705"
ZCTA5 11733,"17,177"
ZCTA5 11735,"33,123"
ZCTA5 11738,"19,401"
ZCTA5 11739,"1,685"
ZCTA5 11740,"10,469"
ZCTA5 11741,"27,172"
ZCTA5 11742,"12,946"
ZCTA5 11743,"42,406"
ZCTA5 11746,"67,873"
ZCTA5 11747,"19,232"
ZCTA5 11749,"3,541"
ZCTA5 11751,"13,746"
ZCTA5 11752,"9,146"
ZCTA5 11753,"13,361"
ZCTA5 11754,"17,884"
ZCTA5 11755,"12,352"
ZCTA5 11756,"43,571"
ZCTA5 11757,"45,091"
ZCTA5 11758,"54,135"
ZCTA5 11762,"22,704"
ZCTA5 11763,"29,808"
ZCTA5 11764,"13,157"
ZCTA5 11765,783
ZCTA5 11766,"11,271"
ZCTA5 11767,"14,190"
ZCTA5 11768,"21,139"
ZCTA5 11769,"8,855"
ZCTA5 11770,139
ZCTA5 11771,"10,032"
ZCTA5 11772,"46,181"
ZCTA5 11776,"23,292"
ZCTA5 11777,"9,136"
ZCTA5 11778,"12,092"
ZCTA5 11779,"38,713"
ZCTA5 11780,"16,114"
ZCTA5 11782,"15,388"
ZCTA5 11783,"21,830"
ZCTA5 11784,"25,251"
ZCTA5 11786,"6,670"
ZCTA5 11787,"34,815"
ZCTA5 11788,"16,578"
ZCTA5 11789,"7,610"
ZCTA5 11790,"19,319"
ZCTA5 11791,"26,075"
ZCTA5 11792,"8,879"
ZCTA5 11793,"31,350"
ZCTA5 11794,"1,279"
ZCTA5 11795,"25,839"
ZCTA5 11796,"3,911"
ZCTA5 11797,"9,137"
ZCTA5 11798,"18,134"
ZCTA5 11801,"41,099"
ZCTA5 11803,"30,067"
ZCTA5 11804,"4,594"
ZCTA5 11901,"32,534"
ZCTA5 11930,780
ZCTA5 11931,0
ZCTA5 11932,"1,066"
ZCTA5 11933,"6,781"
ZCTA5 11934,"7,889"
ZCTA5 11935,"3,114"
ZCTA5 11937,"20,819"
ZCTA5 11939,"1,331"
ZCTA5 11940,"5,005"
ZCTA5 11941,"2,426"
ZCTA5 11942,"5,428"
ZCTA5 11944,"4,696"
ZCTA5 11946,"17,027"
ZCTA5 11947,0
ZCTA5 11948,526
ZCTA5 11949,"12,744"
ZCTA5 11950,"17,264"
ZCTA5 11951,"14,686"
ZCTA5 11952,"4,949"
ZCTA5 11953,"14,300"
ZCTA5 11954,"4,272"
ZCTA5 11955,"2,863"
ZCTA5 11956,319
ZCTA5 11957,"1,037"
ZCTA5 11958,802
ZCTA5 11959,542
ZCTA5 11960,990
ZCTA5 11961,"12,878"
ZCTA5 11962,253
ZCTA5 11963,"8,438"
ZCTA5 11964,"3,101"
ZCTA5 11965,560
ZCTA5 11967,"27,621"
ZCTA5 11968,"13,481"
ZCTA5 11970,523
ZCTA5 11971,"6,769"
ZCTA5 11972,570
ZCTA5 11973,35
ZCTA5 11975,391
ZCTA5 11976,"2,093"
ZCTA5 11977,"3,219"
ZCTA5 11978,"3,636"
ZCTA5 11980,"4,804"
ZCTA5 12007,304
ZCTA5 12008,539
ZCTA5 12009,"8,394"
ZCTA5 12010,"27,324"
ZCTA5 12015,"3,580"
ZCTA5 12017,400
ZCTA5 12018,"7,470"
ZCTA5 12019,"14,681"
ZCTA5 12020,"33,896"
ZCTA5 12022,931
ZCTA5 12023,"2,098"
ZCTA5 12024,59
ZCTA5 12025,"5,221"
ZCTA5 12027,"4,423"
ZCTA5 12028,819
ZCTA5 12029,"1,045"
ZCTA5 12031,196
ZCTA5 12032,635
ZCTA5 12033,"8,079"
ZCTA5 12035,417
ZCTA5 12036,226
ZCTA5 12037,"4,501"
ZCTA5 12040,25
ZCTA5 12041,599
ZCTA5 12042,283
ZCTA5 12043,"7,872"
ZCTA5 12045,571
ZCTA5 12046,536
ZCTA5 12047,"23,236"
ZCTA5 12051,"6,405"
ZCTA5 12052,"2,149"
ZCTA5 12053,"4,133"
ZCTA5 12054,"16,578"
ZCTA5 12056,"2,277"
ZCTA5 12057,"2,232"
ZCTA5 12058,974
ZCTA5 12059,"1,491"
ZCTA5 12060,"1,826"
ZCTA5 12061,"10,072"
ZCTA5 12062,"1,561"
ZCTA5 12063,685
ZCTA5 12064,357
ZCTA5 12065,"44,139"
ZCTA5 12066,"1,628"
ZCTA5 12067,"1,518"
ZCTA5 12068,"2,839"
ZCTA5 12069,391
ZCTA5 12070,"2,220"
ZCTA5 12071,204
ZCTA5 12072,"3,027"
ZCTA5 12074,"2,844"
ZCTA5 12075,"2,816"
ZCTA5 12076,"1,208"
ZCTA5 12077,"6,917"
ZCTA5 12078,"23,048"
ZCTA5 12082,2
ZCTA5 12083,"3,905"
ZCTA5 12084,"4,863"
ZCTA5 12085,318
ZCTA5 12086,"1,712"
ZCTA5 12087,"1,108"
ZCTA5 12090,"5,701"
ZCTA5 12092,"1,415"
ZCTA5 12093,"1,488"
ZCTA5 12094,"2,525"
ZCTA5 12095,"12,472"
ZCTA5 12106,"2,229"
ZCTA5 12108,510
ZCTA5 12110,"19,825"
ZCTA5 12115,61
ZCTA5 12116,"1,570"
ZCTA5 12117,"2,994"
ZCTA5 12118,"16,897"
ZCTA5 12120,709
ZCTA5 12121,"2,262"
ZCTA5 12122,"3,797"
ZCTA5 12123,"4,753"
ZCTA5 12124,228
ZCTA5 12125,"1,280"
ZCTA5 12130,560
ZCTA5 12131,140
ZCTA5 12132,203
ZCTA5 12134,"4,730"
ZCTA5 12136,765
ZCTA5 12137,"2,146"
ZCTA5 12138,"2,923"
ZCTA5 12139,261
ZCTA5 12140,"1,504"
ZCTA5 12143,"5,301"
ZCTA5 12144,"21,623"
ZCTA5 12147,418
ZCTA5 12148,"4,549"
ZCTA5 12149,"2,246"
ZCTA5 12150,613
ZCTA5 12151,863
ZCTA5 12153,799
ZCTA5 12154,"3,157"
ZCTA5 12155,"1,540"
ZCTA5 12156,912
ZCTA5 12157,"4,718"
ZCTA5 12158,"6,421"
ZCTA5 12159,"8,381"
ZCTA5 12160,775
ZCTA5 12161,8
ZCTA5 12164,454
ZCTA5 12165,168
ZCTA5 12166,"1,507"
ZCTA5 12167,"2,441"
ZCTA5 12168,"1,794"
ZCTA5 12169,380
ZCTA5 12170,"5,156"
ZCTA5 12172,224
ZCTA5 12173,"2,202"
ZCTA5 12174,608
ZCTA5 12175,717
ZCTA5 12176,393
ZCTA5 12177,511
ZCTA5 12180,"53,729"
ZCTA5 12182,"14,643"
ZCTA5 12183,"2,957"
ZCTA5 12184,"7,105"
ZCTA5 12185,"1,795"
ZCTA5 12186,"6,307"
ZCTA5 12187,536
ZCTA5 12188,"11,653"
ZCTA5 12189,"18,277"
ZCTA5 12190,655
ZCTA5 12192,"2,135"
ZCTA5 12193,"1,912"
ZCTA5 12194,163
ZCTA5 12195,190
ZCTA5 12196,"3,940"
ZCTA5 12197,"2,119"
ZCTA5 12198,"7,109"
ZCTA5 12202,"8,716"
ZCTA5 12203,"30,470"
ZCTA5 12204,"8,216"
ZCTA5 12205,"26,255"
ZCTA5 12206,"15,693"
ZCTA5 12207,"2,157"
ZCTA5 12208,"22,143"
ZCTA5 12209,"10,055"
ZCTA5 12210,"10,807"
ZCTA5 12211,"14,094"
ZCTA5 12222,"6,767"
ZCTA5 12226,0
ZCTA5 12302,"27,701"
ZCTA5 12303,"29,725"
ZCTA5 12304,"20,531"
ZCTA5 12305,"6,947"
ZCTA5 12306,"27,352"
ZCTA5 12307,"7,769"
ZCTA5 12308,"14,122"
ZCTA5 12309,"33,172"
ZCTA5 12401,"35,225"
ZCTA5 12404,"3,686"
ZCTA5 12405,603
ZCTA5 12406,571
ZCTA5 12407,120
ZCTA5 12409,955
ZCTA5 12410,365
ZCTA5 12411,353
ZCTA5 12412,575
ZCTA5 12413,"3,150"
ZCTA5 12414,"10,211"
ZCTA5 12416,216
ZCTA5 12417,941
ZCTA5 12418,264
ZCTA5 12419,648
ZCTA5 12420,350
ZCTA5 12421,240
ZCTA5 12422,360
ZCTA5 12423,"1,207"
ZCTA5 12424,263
ZCTA5 12427,876
ZCTA5 12428,"6,866"
ZCTA5 12429,35
ZCTA5 12430,"1,449"
ZCTA5 12431,"1,544"
ZCTA5 12432,675
ZCTA5 12433,486
ZCTA5 12434,723
ZCTA5 12435,210
ZCTA5 12436,224
ZCTA5 12438,29
ZCTA5 12439,336
ZCTA5 12440,"1,561"
ZCTA5 12441,98
ZCTA5 12442,686
ZCTA5 12443,"3,919"
ZCTA5 12444,432
ZCTA5 12446,"5,077"
ZCTA5 12448,160
ZCTA5 12449,"3,333"
ZCTA5 12450,208
ZCTA5 12451,"1,379"
ZCTA5 12452,16
ZCTA5 12453,232
ZCTA5 12454,432
ZCTA5 12455,"1,733"
ZCTA5 12456,796
ZCTA5 12457,"1,419"
ZCTA5 12458,"3,762"
ZCTA5 12459,112
ZCTA5 12460,262
ZCTA5 12461,"1,346"
ZCTA5 12463,"1,205"
ZCTA5 12464,989
ZCTA5 12465,343
ZCTA5 12466,"2,077"
ZCTA5 12468,"1,372"
ZCTA5 12469,736
ZCTA5 12470,667
ZCTA5 12471,288
ZCTA5 12472,"1,304"
ZCTA5 12473,657
ZCTA5 12474,943
ZCTA5 12475,463
ZCTA5 12477,"18,196"
ZCTA5 12480,369
ZCTA5 12481,"1,569"
ZCTA5 12482,494
ZCTA5 12483,54
ZCTA5 12484,"3,325"
ZCTA5 12485,"1,220"
ZCTA5 12486,"1,784"
ZCTA5 12487,"3,930"
ZCTA5 12489,112
ZCTA5 12490,0
ZCTA5 12491,"1,858"
ZCTA5 12492,197
ZCTA5 12493,83
ZCTA5 12494,774
ZCTA5 12495,98
ZCTA5 12496,"1,292"
ZCTA5 12498,"4,657"
ZCTA5 12501,"2,007"
ZCTA5 12502,"1,265"
ZCTA5 12503,661
ZCTA5 12504,"1,299"
ZCTA5 12507,299
ZCTA5 12508,"19,697"
ZCTA5 12512,239
ZCTA5 12513,178
ZCTA5 12514,"3,213"
ZCTA5 12515,"1,735"
ZCTA5 12516,"1,862"
ZCTA5 12517,397
ZCTA5 12518,"5,934"
ZCTA5 12520,"3,111"
ZCTA5 12521,"1,529"
ZCTA5 12522,"4,834"
ZCTA5 12523,"2,028"
ZCTA5 12524,"15,633"
ZCTA5 12525,"1,817"
ZCTA5 12526,"3,310"
ZCTA5 12527,12
ZCTA5 12528,"13,675"
ZCTA5 12529,"1,901"
ZCTA5 12530,354
ZCTA5 12531,"2,295"
ZCTA5 12533,"26,101"
ZCTA5 12534,"18,194"
ZCTA5 12538,"14,311"
ZCTA5 12540,"9,107"
ZCTA5 12542,"5,825"
ZCTA5 12543,"3,146"
ZCTA5 12544,59
ZCTA5 12545,"4,321"
ZCTA5 12546,"2,766"
ZCTA5 12547,"2,786"
ZCTA5 12548,"1,011"
ZCTA5 12549,"10,750"
ZCTA5 12550,"55,564"
ZCTA5 12553,"26,806"
ZCTA5 12561,"18,058"
ZCTA5 12563,"7,316"
ZCTA5 12564,"7,945"
ZCTA5 12565,"1,403"
ZCTA5 12566,"13,028"
ZCTA5 12567,"2,411"
ZCTA5 12569,"10,174"
ZCTA5 12570,"6,792"
ZCTA5 12571,"9,167"
ZCTA5 12572,"8,762"
ZCTA5 12574,525
ZCTA5 12575,"1,944"
ZCTA5 12577,"1,520"
ZCTA5 12578,"2,152"
ZCTA5 12580,"4,389"
ZCTA5 12581,"2,048"
ZCTA5 12582,"6,205"
ZCTA5 12583,"1,837"
ZCTA5 12585,"1,000"
ZCTA5 12586,"12,147"
ZCTA5 12589,"19,255"
ZCTA5 12590,"36,849"
ZCTA5 12592,"1,507"
ZCTA5 12594,"3,930"
ZCTA5 12601,"42,737"
ZCTA5 12603,"41,610"
ZCTA5 12604,"1,993"
ZCTA5 12701,"12,559"
ZCTA5 12719,"1,093"
ZCTA5 12720,67
ZCTA5 12721,"7,209"
ZCTA5 12722,25
ZCTA5 12723,"1,596"
ZCTA5 12724,65
ZCTA5 12725,191
ZCTA5 12726,"1,450"
ZCTA5 12729,"1,316"
ZCTA5 12732,819
ZCTA5 12733,"2,771"
ZCTA5 12734,"1,146"
ZCTA5 12736,108
ZCTA5 12737,"1,743"
ZCTA5 12738,255
ZCTA5 12740,"1,810"
ZCTA5 12741,189
ZCTA5 12742,87
ZCTA5 12743,384
ZCTA5 12745,15
ZCTA5 12746,785
ZCTA5 12747,"2,046"
ZCTA5 12748,"1,971"
ZCTA5 12749,537
ZCTA5 12750,22
ZCTA5 12751,"1,397"
ZCTA5 12752,315
ZCTA5 12754,"7,688"
ZCTA5 12758,"3,941"
ZCTA5 12759,"2,398"
ZCTA5 12760,479
ZCTA5 12762,484
ZCTA5 12763,565
ZCTA5 12764,"1,694"
ZCTA5 12765,910
ZCTA5 12766,651
ZCTA5 12767,201
ZCTA5 12768,626
ZCTA5 12769,291
ZCTA5 12770,254
ZCTA5 12771,"14,840"
ZCTA5 12775,"2,061"
ZCTA5 12776,"2,003"
ZCTA5 12777,856
ZCTA5 12778,384
ZCTA5 12779,"1,380"
ZCTA5 12780,"2,153"
ZCTA5 12781,104
ZCTA5 12783,"1,378"
ZCTA5 12784,3
ZCTA5 12785,"1,219"
ZCTA5 12786,482
ZCTA5 12787,89
ZCTA5 12788,"2,596"
ZCTA5 12789,"1,961"
ZCTA5 12790,"4,542"
ZCTA5 12791,741
ZCTA5 12792,132
ZCTA5 12801,"14,838"
ZCTA5 12803,"8,349"
ZCTA5 12804,"27,486"
ZCTA5 12808,202
ZCTA5 12809,"3,679"
ZCTA5 12810,586
ZCTA5 12811,175
ZCTA5 12812,328
ZCTA5 12814,"1,300"
ZCTA5 12815,"1,041"
ZCTA5 12816,"4,636"
ZCTA5 12817,"2,006"
ZCTA5 12819,311
ZCTA5 12820,96
ZCTA5 12821,"2,764"
ZCTA5 12822,"6,036"
ZCTA5 12823,462
ZCTA5 12824,949
ZCTA5 12827,"3,349"
ZCTA5 12828,"9,866"
ZCTA5 12831,"18,314"
ZCTA5 12832,"6,353"
ZCTA5 12833,"5,141"
ZCTA5 12834,"6,211"
ZCTA5 12835,"2,760"
ZCTA5 12836,593
ZCTA5 12837,"1,083"
ZCTA5 12838,735
ZCTA5 12839,"13,612"
ZCTA5 12841,123
ZCTA5 12842,595
ZCTA5 12843,672
ZCTA5 12844,265
ZCTA5 12845,"4,760"
ZCTA5 12846,"3,057"
ZCTA5 12847,376
ZCTA5 12849,320
ZCTA5 12850,"2,621"
ZCTA5 12851,379
ZCTA5 12852,333
ZCTA5 12853,"1,456"
ZCTA5 12854,82
